Employee Number,Age,Gender,Education Level,Educational Field,Position
1965,27,Male,3,Marketing,Sales Executive
1981,24,Male,2,Life Sciences,Healthcare Representative
1982,23,Male,2,Other,Laboratory Technician
1987,25,Female,3,Human Resources,Human Resources
1989,30,Male,2,Medical,Laboratory Technician
1992,25,Male,1,Other,Laboratory Technician
2007,22,Male,2,Life Sciences,Research Scientist
2018,25,Female,2,Other,Sales Executive
2021,21,Male,1,Medical,Sales Representative
2023,23,Male,3,Marketing,Sales Representative
2027,29,Male,4,Medical,Research Scientist
2053,29,Male,2,Other,Laboratory Technician
2054,29,Female,4,Medical,Research Scientist
2060,26,Female,3,Other,Sales Representative
2064,27,Male,3,Life Sciences,Manufacturing Director
